component_id,lot_id,initial_measurement,burn_in_24h,burn_in_96h,final_burn_in_reading,label,defect_pattern
COMP-00366,LOT-037,9.895,10.187,12.354,20.753,ANOMALY,Random Failure
COMP-00367,LOT-037,9.928,13.087,15.308,20.87,ANOMALY,Early Life Failure
COMP-00368,LOT-037,9.503,9.467,9.498,9.542,NORMAL,
COMP-00369,LOT-037,9.806,9.874,9.922,9.832,NORMAL,
COMP-00370,LOT-037,9.056,9.131,9.1,9.126,NORMAL,
COMP-00371,LOT-038,9.191,9.231,9.224,9.336,NORMAL,
COMP-00372,LOT-038,9.919,12.884,15.439,20.844,ANOMALY,Infant Mortality
COMP-00373,LOT-038,9.639,9.672,9.59,9.767,NORMAL,
COMP-00374,LOT-038,9.404,9.52,9.504,9.363,NORMAL,
COMP-00375,LOT-038,9.197,9.28,9.319,9.304,NORMAL,
COMP-00376,LOT-038,9.194,12.324,15.435,20.55,ANOMALY,Wear-out
COMP-00377,LOT-038,9.276,9.264,9.305,9.273,NORMAL,
COMP-00378,LOT-038,9.814,9.785,9.914,9.841,NORMAL,
COMP-00379,LOT-038,9.523,9.549,9.586,9.624,NORMAL,
COMP-00380,LOT-038,9.474,9.508,9.458,9.502,NORMAL,
COMP-00381,LOT-039,9.286,12.991,16.367,20.329,ANOMALY,Wear-out
COMP-00382,LOT-039,9.165,9.165,9.155,9.273,NORMAL,
COMP-00383,LOT-039,9.104,9.106,9.063,9.156,NORMAL,
COMP-00384,LOT-039,9.107,9.078,9.068,9.088,NORMAL,
COMP-00385,LOT-039,9.85,9.957,9.913,9.811,NORMAL,
COMP-00386,LOT-039,9.799,9.82,9.823,9.902,NORMAL,
COMP-00387,LOT-039,9.405,12.07,15.635,21.818,ANOMALY,Infant Mortality
COMP-00388,LOT-039,9.611,9.628,9.641,9.778,NORMAL,
COMP-00389,LOT-039,9.392,9.445,14.041,18.991,ANOMALY,Random Failure
COMP-00390,LOT-039,9.731,9.679,9.744,9.858,NORMAL,
COMP-00391,LOT-040,9.822,9.924,9.832,9.826,NORMAL,
COMP-00392,LOT-040,9.536,9.513,9.556,9.69,NORMAL,
COMP-00393,LOT-040,9.153,9.19,9.27,9.238,NORMAL,
COMP-00394,LOT-040,9.106,12.588,14.121,20.23,ANOMALY,Early Life Failure
COMP-00395,LOT-040,9.394,9.319,9.444,9.455,NORMAL,
COMP-00396,LOT-040,9.162,9.123,9.262,9.283,NORMAL,
COMP-00397,LOT-040,9.475,11.924,14.33,19.61,ANOMALY,Infant Mortality
COMP-00398,LOT-040,9.843,12.002,16.19,21.239,ANOMALY,Wear-out
COMP-00399,LOT-040,9.095,9.202,12.577,20.659,ANOMALY,Random Failure
COMP-00400,LOT-040,9.087,9.064,9.16,9.066,NORMAL,
COMP-00401,LOT-041,9.477,9.585,9.612,9.623,NORMAL,
COMP-00402,LOT-041,9.052,9.039,9.058,9.187,NORMAL,
COMP-00403,LOT-041,9.657,9.77,9.714,9.751,NORMAL,
COMP-00404,LOT-041,9.323,11.985,14.175,20.582,ANOMALY,Early Life Failure
COMP-00405,LOT-041,9.17,9.102,9.27,9.137,NORMAL,
COMP-00406,LOT-041,9.372,9.555,13.997,20.031,ANOMALY,Random Failure
COMP-00407,LOT-041,9.669,9.972,13.23,21.621,ANOMALY,Random Failure
COMP-00408,LOT-041,9.057,11.844,15.118,20.976,ANOMALY,Infant Mortality
COMP-00409,LOT-041,9.76,9.732,9.86,9.771,NORMAL,
COMP-00410,LOT-041,9.699,12.663,16.449,21.312,ANOMALY,Wear-out
COMP-00411,LOT-042,9.723,9.74,9.746,9.754,NORMAL,
COMP-00412,LOT-042,9.119,9.105,9.095,9.194,NORMAL,
COMP-00413,LOT-042,9.813,9.885,9.951,9.83,NORMAL,
COMP-00414,LOT-042,9.731,9.671,9.698,9.893,NORMAL,
COMP-00415,LOT-042,9.227,9.536,12.409,19.237,ANOMALY,Random Failure
COMP-00416,LOT-042,9.617,9.698,9.572,9.635,NORMAL,
COMP-00417,LOT-042,9.347,9.385,9.455,9.313,NORMAL,
COMP-00418,LOT-042,9.414,9.489,9.389,9.583,NORMAL,
COMP-00419,LOT-042,9.142,11.673,14.899,19.096,ANOMALY,Infant Mortality
COMP-00420,LOT-042,9.276,9.273,9.291,9.385,NORMAL,
COMP-00421,LOT-043,9.24,9.342,9.288,9.4,NORMAL,
COMP-00422,LOT-043,9.118,13.316,14.491,21.161,ANOMALY,Early Life Failure
COMP-00423,LOT-043,9.733,9.658,9.824,9.901,NORMAL,
COMP-00424,LOT-043,9.058,8.99,9.188,9.218,NORMAL,
COMP-00425,LOT-043,9.134,12.682,15.907,19.161,ANOMALY,Infant Mortality
COMP-00426,LOT-043,9.34,9.348,9.44,9.381,NORMAL,
COMP-00427,LOT-043,9.406,9.449,9.495,9.447,NORMAL,
COMP-00428,LOT-043,9.14,9.093,9.124,9.127,NORMAL,
COMP-00429,LOT-043,9.44,9.429,9.439,9.575,NORMAL,
COMP-00430,LOT-043,9.776,12.54,14.864,20.579,ANOMALY,Early Life Failure
COMP-00431,LOT-044,9.189,9.472,12.46,19.29,ANOMALY,Random Failure
COMP-00432,LOT-044,9.855,9.904,9.878,9.948,NORMAL,
COMP-00433,LOT-044,9.265,12.086,15.569,20.8,ANOMALY,Early Life Failure
COMP-00434,LOT-044,9.841,9.829,9.883,9.85,NORMAL,
COMP-00435,LOT-044,9.156,12.993,15.489,20.181,ANOMALY,Infant Mortality
COMP-00436,LOT-044,9.308,11.574,16.409,19.522,ANOMALY,Early Life Failure
COMP-00437,LOT-044,9.672,9.64,9.754,9.674,NORMAL,
COMP-00438,LOT-044,9.533,9.613,9.555,9.531,NORMAL,
COMP-00439,LOT-044,9.607,13.236,15.154,19.077,ANOMALY,Early Life Failure
COMP-00440,LOT-044,9.717,12.183,15.502,21.657,ANOMALY,Early Life Failure
COMP-00441,LOT-045,9.277,9.353,9.233,9.238,NORMAL,
COMP-00442,LOT-045,9.844,9.954,9.917,9.966,NORMAL,
COMP-00443,LOT-045,9.362,9.386,9.348,9.37,NORMAL,
COMP-00444,LOT-045,9.662,9.691,9.705,9.772,NORMAL,
COMP-00445,LOT-045,9.528,9.578,9.632,9.685,NORMAL,
COMP-00446,LOT-045,9.162,9.201,9.279,9.118,NORMAL,
COMP-00447,LOT-045,9.051,8.99,9.064,9.067,NORMAL,
COMP-00448,LOT-045,9.156,9.149,9.156,9.135,NORMAL,
COMP-00449,LOT-045,9.466,9.526,9.591,9.643,NORMAL,
COMP-00450,LOT-045,9.846,9.83,9.967,9.853,NORMAL,
COMP-00451,LOT-046,9.424,12.327,15.334,20.882,ANOMALY,Infant Mortality
COMP-00452,LOT-046,9.665,12.569,16.006,19.709,ANOMALY,Wear-out
COMP-00453,LOT-046,9.653,9.9,14.912,21.26,ANOMALY,Random Failure
COMP-00454,LOT-046,9.077,12.994,16.222,21.909,ANOMALY,Early Life Failure
COMP-00455,LOT-046,9.276,9.249,9.392,9.27,NORMAL,
COMP-00456,LOT-046,9.432,9.433,9.568,9.467,NORMAL,
COMP-00457,LOT-046,9.054,9.245,14.12,19.357,ANOMALY,Random Failure
COMP-00458,LOT-046,9.071,8.993,9.038,9.037,NORMAL,
COMP-00459,LOT-046,9.566,9.52,9.702,9.731,NORMAL,
COMP-00460,LOT-046,9.295,9.635,12.097,20.641,ANOMALY,Random Failure
COMP-00461,LOT-047,9.243,9.243,9.343,9.309,NORMAL,
COMP-00462,LOT-047,9.934,10.261,12.747,21.114,ANOMALY,Random Failure
COMP-00463,LOT-047,9.278,9.481,12.936,20.07,ANOMALY,Random Failure
COMP-00464,LOT-047,9.075,9.017,9.079,9.087,NORMAL,
COMP-00465,LOT-047,9.515,9.592,9.639,9.557,NORMAL,
COMP-00466,LOT-047,9.611,9.568,9.649,9.618,NORMAL,
COMP-00467,LOT-047,9.653,9.688,9.607,9.808,NORMAL,
COMP-00468,LOT-047,9.493,11.982,14.711,21.584,ANOMALY,Wear-out
COMP-00469,LOT-047,9.632,9.58,9.636,9.807,NORMAL,
COMP-00470,LOT-047,9.457,9.462,9.535,9.521,NORMAL,
COMP-00471,LOT-048,9.665,9.667,9.776,9.791,NORMAL,
COMP-00472,LOT-048,9.376,9.308,9.377,9.449,NORMAL,
COMP-00473,LOT-048,9.56,9.539,9.673,9.536,NORMAL,
COMP-00474,LOT-048,9.139,9.066,9.238,9.254,NORMAL,
COMP-00475,LOT-048,9.867,9.882,9.951,9.869,NORMAL,
COMP-00476,LOT-048,9.414,12.868,16.712,21.521,ANOMALY,Early Life Failure
COMP-00477,LOT-048,9.271,9.314,9.296,9.327,NORMAL,
COMP-00478,LOT-048,9.66,9.658,9.656,9.722,NORMAL,
COMP-00479,LOT-048,9.816,9.862,9.94,9.976,NORMAL,
COMP-00480,LOT-048,9.165,9.236,9.249,9.246,NORMAL,
COMP-00481,LOT-049,9.632,9.706,9.752,9.801,NORMAL,
COMP-00482,LOT-049,9.628,9.663,9.703,9.597,NORMAL,
COMP-00483,LOT-049,9.606,9.687,9.617,9.708,NORMAL,
COMP-00484,LOT-049,9.2,9.263,9.223,9.227,NORMAL,
COMP-00485,LOT-049,9.694,9.69,9.689,9.673,NORMAL,
COMP-00486,LOT-049,9.759,9.733,9.865,9.859,NORMAL,
COMP-00487,LOT-049,9.068,9.004,9.105,9.19,NORMAL,
COMP-00488,LOT-049,9.215,9.24,9.344,9.379,NORMAL,
COMP-00489,LOT-049,9.792,9.748,9.883,9.822,NORMAL,
COMP-00490,LOT-049,9.893,9.947,9.877,9.976,NORMAL,
COMP-00491,LOT-050,9.284,9.366,9.368,9.255,NORMAL,
COMP-00492,LOT-050,9.32,9.291,9.417,9.376,NORMAL,
COMP-00493,LOT-050,9.227,11.551,15.255,21.967,ANOMALY,Early Life Failure
COMP-00494,LOT-050,9.781,9.75,9.782,9.828,NORMAL,
COMP-00495,LOT-050,9.329,9.604,14.852,20.638,ANOMALY,Random Failure
COMP-00496,LOT-050,9.088,9.009,9.043,9.247,NORMAL,
COMP-00497,LOT-050,9.873,9.977,9.952,9.991,NORMAL,
COMP-00498,LOT-050,9.59,9.602,9.663,9.769,NORMAL,
COMP-00499,LOT-050,9.464,9.452,9.532,9.455,NORMAL,
COMP-00500,LOT-050,9.337,9.304,9.401,9.492,NORMAL,
